===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-03-18 18:00:17
count workspace : e:\Projects\EdForge\ISP_Tutor\EFTutorEngineOne
total files : 454
total code lines : 46813
total comment lines : 24252
total blank lines : 14082

.gitignore, code is 1, comment is 3, blank is 0.
dep\require.js, code is 1, comment is 4, blank is 0.
dep\require_min.js, code is 1289, comment is 567, blank is 268.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\._.DS_Store, it is a binary file.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\CCustomContextMenu.as, code is 322, comment is 78, blank is 133.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\CHunspellDictionary.as, code is 118, comment is 18, blank is 20.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\CSpellingContextMenu.as, code is 253, comment is 13, blank is 24.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\CSpellManager.as, code is 433, comment is 10, blank is 100.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\CSpellManagerProxy.as, code is 29, comment is 8, blank is 17.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\framework\ResourceTable.as, code is 62, comment is 7, blank is 12.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\framework\SpellingConfiguration.as, code is 50, comment is 7, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\framework\SpellingService.as, code is 122, comment is 10, blank is 16.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ISpellManagerProxy.as, code is 11, comment is 1, blank is 6.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ui\FlaHighlighter.as, code is 57, comment is 6, blank is 8.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ui\FlaWordProcessor.as, code is 86, comment is 4, blank is 6.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ui\IHighlighter.as, code is 13, comment is 0, blank is 7.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ui\IWordProcessor.as, code is 10, comment is 0, blank is 5.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\ui\SpellingHighlighter.as, code is 207, comment is 10, blank is 17.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\utils\ITokenizer.as, code is 11, comment is 0, blank is 7.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\utils\TextTokenizer.as, code is 317, comment is 18, blank is 31.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\spelling\utils\Token.as, code is 32, comment is 5, blank is 7.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\._.DS_Store, it is a binary file.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationAction.as, code is 45, comment is 31, blank is 30.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationChoice.as, code is 37, comment is 23, blank is 24.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationChoiceSet.as, code is 76, comment is 46, blank is 52.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationConstraint.as, code is 39, comment is 25, blank is 21.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationEdge.as, code is 32, comment is 24, blank is 13.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationGraph.as, code is 166, comment is 50, blank is 86.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationModule.as, code is 114, comment is 48, blank is 54.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationNode.as, code is 80, comment is 28, blank is 30.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\animationgraph\CAnimationTrack.as, code is 65, comment is 29, blank is 39.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\bkt\CBKTSkill.as, code is 47, comment is 37, blank is 29.
